Card	Time1	Time2	Time3
762500	1.8849e+006	1.8977e+006	1.8954e+006
765000	1.8681e+006	2.1484e+006	1.9101e+006
767500	1.8602e+006	1.8704e+006	1.8899e+006
770000	1.8935e+006	1.8951e+006	1.8723e+006
772500	1.8797e+006	1.8699e+006	1.9265e+006
775000	1.8896e+006	1.8703e+006	1.9129e+006
777500	1.9392e+006	1.9969e+006	1.9167e+006
780000	1.9187e+006	2.0292e+006	1.9186e+006
782500	1.9625e+006	2.1582e+006	1.959e+006
785000	1.9023e+006	2.1215e+006	1.9214e+006
787500	1.9344e+006	2.1375e+006	1.9639e+006
790000	1.9351e+006	2.0323e+006	3.074e+006
792500	1.9462e+006	1.998e+006	1.9528e+006
795000	1.9748e+006	1.9428e+006	1.9606e+006
797500	1.9606e+006	1.9725e+006	1.9351e+006
800000	1.9609e+006	1.9965e+006	1.9935e+006
802500	1.9888e+006	1.9729e+006	1.9687e+006
805000	1.9805e+006	1.9928e+006	1.9859e+006
807500	1.99e+006	1.9661e+006	1.9566e+006
810000	1.9838e+006	2.0084e+006	1.9992e+006
812500	1.9615e+006	2.0027e+006	2.0113e+006
815000	2.0124e+006	2.0424e+006	1.9727e+006
817500	1.9816e+006	1.9906e+006	2.0324e+006
820000	2.0244e+006	2.0669e+006	1.9942e+006
822500	2.045e+006	2.0221e+006	2.0046e+006
825000	2.0228e+006	2.0468e+006	2.0499e+006
827500	2.0531e+006	2.2505e+006	2.0614e+006
830000	2.055e+006	2.007e+006	2.0522e+006
832500	2.0338e+006	2.0414e+006	2.0673e+006
835000	2.0653e+006	3.215e+006	2.0647e+006
837500	2.058e+006	2.0508e+006	2.0817e+006
840000	2.0515e+006	2.517e+006	2.0882e+006
842500	2.1004e+006	2.2112e+006	2.0941e+006
845000	2.0804e+006	2.0586e+006	2.0856e+006
847500	2.0594e+006	2.0913e+006	2.0952e+006
850000	2.079e+006	2.1126e+006	2.4832e+006
852500	2.067e+006	2.7084e+006	2.105e+006
855000	2.1168e+006	2.5057e+006	2.0806e+006
857500	2.1337e+006	2.2497e+006	2.173e+006
860000	2.1183e+006	2.4115e+006	2.4981e+006
862500	2.0862e+006	2.4218e+006	2.1308e+006
865000	2.1138e+006	2.4917e+006	2.1425e+006
867500	2.0977e+006	2.153e+006	2.1573e+006
870000	2.1764e+006	2.2254e+006	2.1105e+006
872500	2.1142e+006	2.1674e+006	2.1326e+006
875000	2.17e+006	2.1341e+006	2.155e+006
877500	2.2095e+006	2.1604e+006	2.1512e+006
880000	2.1657e+006	2.1696e+006	2.4201e+006
882500	2.1802e+006	2.1704e+006	2.6573e+006
885000	2.192e+006	2.1487e+006	2.5431e+006
887500	2.1452e+006	2.1686e+006	2.1723e+006
890000	2.176e+006	2.1645e+006	2.2146e+006
892500	2.2053e+006	2.2284e+006	2.4213e+006
895000	2.2033e+006	2.2209e+006	2.2119e+006
897500	2.182e+006	2.2326e+006	2.1731e+006
900000	2.1942e+006	2.2217e+006	2.1818e+006
902500	2.1899e+006	2.2191e+006	2.2482e+006
905000	2.2263e+006	2.19e+006	2.1901e+006
907500	2.2461e+006	2.22e+006	2.2156e+006
910000	2.2219e+006	2.2187e+006	2.2412e+006
912500	2.2368e+006	2.2391e+006	2.2275e+006
915000	2.2539e+006	2.2152e+006	2.2415e+006
917500	2.2679e+006	2.2727e+006	2.2303e+006
920000	2.278e+006	2.2728e+006	2.2504e+006
922500	2.2813e+006	2.2767e+006	2.2421e+006
925000	2.2756e+006	2.3094e+006	2.2519e+006
927500	2.2936e+006	2.2777e+006	2.283e+006
930000	2.3189e+006	2.2654e+006	2.3046e+006
932500	2.2706e+006	2.3082e+006	2.3127e+006
935000	2.3103e+006	2.3275e+006	2.2862e+006
937500	2.2992e+006	2.3217e+006	2.2942e+006
940000	2.2876e+006	2.2854e+006	2.2857e+006
942500	2.4375e+006	2.294e+006	2.5659e+006
945000	2.5347e+006	2.3278e+006	2.3289e+006
947500	2.2912e+006	2.3446e+006	2.3429e+006
950000	2.3243e+006	2.3087e+006	2.3427e+006
952500	2.3456e+006	2.325e+006	2.3388e+006
955000	2.3317e+006	2.3476e+006	2.3545e+006
957500	2.3509e+006	2.4822e+006	2.3705e+006
960000	2.3326e+006	2.3613e+006	2.3708e+006
962500	2.3882e+006	2.3323e+006	2.3368e+006
965000	2.3382e+006	2.3995e+006	2.3381e+006
967500	2.4015e+006	2.3428e+006	2.3716e+006
970000	2.356e+006	2.3907e+006	2.3873e+006
972500	2.3792e+006	2.3638e+006	2.3875e+006
975000	2.4608e+006	2.3726e+006	2.3557e+006
977500	2.4274e+006	2.3661e+006	2.396e+006
980000	2.4228e+006	2.3827e+006	2.3973e+006
982500	2.4323e+006	2.4048e+006	2.4367e+006
985000	2.4192e+006	2.4425e+006	2.4385e+006
987500	2.4098e+006	2.3897e+006	3.1416e+006
990000	2.4474e+006	2.398e+006	2.4059e+006
992500	2.4113e+006	2.4177e+006	2.9555e+006
995000	2.4602e+006	2.4218e+006	2.4196e+006
997500	2.4252e+006	2.4426e+006	2.4532e+006
1000000	2.4342e+006	3.0996e+006	2.4557e+006
1002500	2.4733e+006	2.4506e+006	2.4233e+006
1005000	2.4932e+006	2.4874e+006	2.4575e+006
1007500	2.4679e+006	2.4748e+006	2.6878e+006
1010000	2.4446e+006	2.4617e+006	2.5029e+006
1012500	2.4845e+006	2.5212e+006	2.4967e+006
1015000	2.9721e+006	2.4797e+006	2.4516e+006
1017500	2.4635e+006	2.5222e+006	2.4624e+006
1020000	2.4798e+006	3.1005e+006	2.5064e+006
1022500	2.5261e+006	3.0096e+006	2.5418e+006
1025000	2.4908e+006	2.8733e+006	2.5366e+006
1027500	2.491e+006	2.871e+006	2.5287e+006
1030000	2.5271e+006	5.6549e+006	2.4961e+006
1032500	2.555e+006	2.5508e+006	2.536e+006
1035000	2.5689e+006	2.5199e+006	2.5565e+006
1037500	2.82e+006	2.5689e+006	2.5481e+006
1040000	2.5142e+006	2.5342e+006	2.5746e+006
1042500	2.5433e+006	2.5813e+006	2.7759e+006
1045000	2.5867e+006	2.6375e+006	2.8857e+006
1047500	2.5617e+006	2.5359e+006	5.3171e+006
1050000	2.5786e+006	2.5884e+006	3.6685e+006
1052500	2.6123e+006	2.5806e+006	3.9441e+006
1055000	2.6027e+006	2.5648e+006	2.6194e+006
1057500	2.5954e+006	2.5603e+006	2.5671e+006
1060000	2.6165e+006	2.5727e+006	2.6187e+006
1062500	2.6144e+006	2.594e+006	2.6106e+006
1065000	2.5973e+006	2.8013e+006	2.6012e+006
1067500	2.5945e+006	2.5876e+006	2.5876e+006
1070000	2.5921e+006	2.5836e+006	2.6281e+006
1072500	2.6386e+006	2.6039e+006	2.6502e+006
