Card	Time1	Time2	Time3
1292500	5.6213e+006	5.6484e+006	5.6463e+006
1295000	5.661e+006	5.6301e+006	5.6401e+006
1297500	5.6531e+006	5.6412e+006	5.6471e+006
1300000	5.6891e+006	5.6643e+006	6.6191e+006
1302500	5.6728e+006	5.6675e+006	5.665e+006
1305000	5.674e+006	5.671e+006	6.1189e+006
1307500	5.6965e+006	5.6856e+006	5.6825e+006
1310000	5.7056e+006	5.7067e+006	5.7003e+006
1312500	6.0693e+006	5.7073e+006	5.703e+006
1315000	5.7189e+006	5.7696e+006	5.7154e+006
1317500	5.7279e+006	5.7354e+006	5.7301e+006
1320000	5.746e+006	5.7483e+006	5.7392e+006
1322500	5.7549e+006	5.7475e+006	5.7508e+006
1325000	5.7657e+006	5.7621e+006	5.7615e+006
1327500	5.8092e+006	7.6039e+006	5.7769e+006
1330000	5.8233e+006	5.7857e+006	5.7888e+006
1332500	5.7958e+006	5.8057e+006	5.7876e+006
1335000	6.4883e+006	5.8232e+006	5.8037e+006
1337500	5.8347e+006	5.828e+006	5.8368e+006
1340000	6.2946e+006	5.8346e+006	5.8353e+006
1342500	5.8532e+006	5.8449e+006	5.8428e+006
1345000	5.8547e+006	5.8535e+006	5.8518e+006
1347500	5.8952e+006	5.8659e+006	5.8636e+006
1350000	5.869e+006	5.8828e+006	5.8763e+006
1352500	5.8947e+006	5.9029e+006	5.8872e+006
1355000	6.0415e+006	5.9064e+006	5.8904e+006
1357500	5.9033e+006	5.9013e+006	5.9079e+006
1360000	5.9435e+006	5.9148e+006	5.9175e+006
1362500	5.9456e+006	5.9373e+006	5.9376e+006
1365000	5.9438e+006	5.9371e+006	5.961e+006
1367500	5.9872e+006	5.9498e+006	5.9513e+006
1370000	5.9645e+006	5.9623e+006	6.0565e+006
1372500	5.9777e+006	5.993e+006	5.9685e+006
1375000	6.1391e+006	5.9769e+006	5.9816e+006
1377500	5.9866e+006	6.004e+006	6.0423e+006
1380000	6.0031e+006	6.0043e+006	6.0043e+006
1382500	6.0173e+006	6.0149e+006	6.0189e+006
1385000	6.0309e+006	6.0184e+006	6.1081e+006
1387500	6.062e+006	6.0344e+006	6.0392e+006
1390000	6.1382e+006	6.9047e+006	6.5079e+006
1392500	6.0797e+006	6.0699e+006	6.0914e+006
1395000	6.0604e+006	7.9835e+006	6.0882e+006
1397500	6.0932e+006	6.2295e+006	6.1098e+006
1400000	6.1027e+006	6.0926e+006	6.2962e+006
1402500	6.1019e+006	6.1433e+006	6.1134e+006
1405000	6.1078e+006	6.1124e+006	6.4243e+006
1407500	6.1286e+006	6.1277e+006	7.2176e+006
1410000	6.1495e+006	6.3851e+006	6.2701e+006
